Absorbance:209, 
435.606, 0.13
436.045, 0.13
436.484, 0.14
436.923, 0.13
437.362, 0.14
437.801, 0.15
438.239, 0.15
438.678, 0.16
439.117, 0.16
439.556, 0.16
439.994, 0.17
440.433, 0.16
440.871, 0.17
441.31, 0.17
441.748, 0.18
442.187, 0.19
442.625, 0.19
443.063, 0.2
443.502, 0.19
443.94, 0.2
444.378, 0.2
444.816, 0.21
445.254, 0.22
445.692, 0.21
446.13, 0.23
446.568, 0.24
447.006, 0.23
447.444, 0.24
447.881, 0.24
448.319, 0.25
448.757, 0.26
449.194, 0.27
449.632, 0.28
450.07, 0.28
450.507, 0.3
450.944, 0.29
451.382, 0.3
451.819, 0.31
452.256, 0.32
452.694, 0.32
453.131, 0.34
453.568, 0.35
454.005, 0.36
454.442, 0.37
454.879, 0.38
455.316, 0.38
455.753, 0.39
456.19, 0.41
456.627, 0.42
457.063, 0.43
457.5, 0.44
457.937, 0.45
458.373, 0.46
458.81, 0.47
459.246, 0.47
459.683, 0.49
460.119, 0.51
460.556, 0.51
460.992, 0.53
461.428, 0.53
461.864, 0.55
462.301, 0.55
462.737, 0.56
463.173, 0.59
463.609, 0.59
464.045, 0.6
464.481, 0.61
464.917, 0.62
465.352, 0.64
465.788, 0.65
466.224, 0.66
466.66, 0.67
467.095, 0.7
467.531, 0.7
467.966, 0.7
468.402, 0.72
468.837, 0.73
469.273, 0.74
469.708, 0.76
470.143, 0.77
470.578, 0.79
471.014, 0.81
471.449, 0.82
471.884, 0.83
472.319, 0.86
472.754, 0.88
473.189, 0.88
473.624, 0.91
474.059, 0.92
474.493, 0.93
474.928, 0.97
475.363, 0.98
475.797, 1.01
476.232, 1.03
476.667, 1.05
477.101, 1.08
477.536, 1.09
477.97, 1.11
478.404, 1.12
478.839, 1.17
479.273, 1.19
479.707, 1.21
480.141, 1.26
480.575, 1.26
481.009, 1.29
481.444, 1.34
481.877, 1.35
482.311, 1.42
482.745, 1.44
483.179, 1.48
483.613, 1.49
484.047, 1.53
484.48, 1.6
484.914, 1.56
485.347, 1.59
485.781, 1.61
486.214, 1.62
486.648, 1.66
487.081, 1.75
487.515, 1.68
487.948, 1.7
488.381, 1.72
488.814, 1.74
489.247, 1.82
489.68, 1.75
490.113, 1.81
490.546, 1.86
490.979, 1.83
491.412, 1.89
491.845, 1.8
492.278, 1.91
492.711, 1.84
493.143, 1.86
493.576, 1.92
494.009, 1.92
494.441, 1.89
494.874, 1.87
495.306, 1.96
495.738, 1.9
496.171, 1.94
496.603, 2
497.035, 2.05
497.467, 1.96
497.9, 1.95
498.332, 2.02
498.764, 1.9
499.196, 1.95
499.628, 1.98
500.06, 1.91
500.491, 1.91
500.923, 2.02
501.355, 2
501.787, 2.05
502.218, 2.07
502.65, 1.95
503.081, 1.93
503.513, 2.06
503.944, 2
504.376, 2.09
504.807, 2.1
505.238, 2.03
505.67, 1.96
506.101, 2.05
506.532, 1.99
506.963, 2.03
507.394, 2.09
507.825, 1.99
508.256, 2.08
508.687, 1.97
509.118, 2.02
509.549, 1.95
509.979, 2.06
510.41, 2.05
510.841, 2.06
511.271, 1.99
511.702, 1.98
512.132, 2.02
512.563, 2.15
512.993, 1.98
513.424, 2.03
513.854, 2.05
514.284, 2.03
514.714, 1.92
515.145, 2.04
515.575, 2.07
516.005, 2.1
516.435, 2.06
516.865, 1.99
517.295, 1.99
517.724, 2.02
518.154, 2.03
518.584, 1.96
519.014, 2.04
519.443, 2.11
519.873, 2.06
520.303, 2
520.732, 2
521.161, 2.02
521.591, 2.03
522.02, 2.02
522.45, 1.99
522.879, 2.07
523.308, 2.06
523.737, 1.99
524.166, 1.93
524.595, 2.11
525.024, 1.95
525.453, 1.99
525.882, 1.96
526.311, 2.09
526.74, 1.93
527.169, 1.96
527.597, 1.99
528.026, 2.03
528.455, 2.02
528.883, 2.07
529.312, 1.97
529.74, 2
530.168, 2
530.597, 2.03
531.025, 2.05
531.453, 1.96
531.882, 1.95
532.31, 2.11
532.738, 2.09
533.166, 1.98
533.594, 1.95
534.022, 2.04
534.45, 1.92
534.878, 1.97
535.305, 2.02
535.733, 1.97
536.161, 1.98
536.588, 2.06
537.016, 2.03
537.444, 2
537.871, 1.94
538.299, 2.06
538.726, 2
539.153, 2.02
539.581, 2.03
540.008, 2.16
540.435, 1.94
540.862, 1.88
541.289, 2
541.716, 1.91
542.143, 1.97
542.57, 1.97
542.997, 1.93
543.424, 1.97
543.851, 1.92
544.277, 1.99
544.704, 1.95
545.131, 1.86
545.557, 2.07
545.984, 1.98
546.41, 1.9
546.837, 1.98
547.263, 1.92
547.69, 1.95
548.116, 1.97
548.542, 1.9
548.968, 1.9
549.394, 1.96
549.82, 1.85
550.246, 1.8
550.672, 1.77
551.098, 1.7
551.524, 1.7
551.95, 1.62
552.376, 1.58
552.802, 1.51
553.227, 1.44
553.653, 1.38
554.078, 1.32
554.504, 1.23
554.929, 1.19
555.355, 1.13
555.78, 1.06
556.206, 0.99
556.631, 0.93
557.056, 0.88
557.481, 0.83
557.906, 0.76
558.331, 0.71
558.756, 0.66
559.181, 0.61
559.606, 0.57
560.031, 0.52
560.456, 0.49
560.881, 0.44
561.305, 0.41
561.73, 0.38
562.155, 0.35
562.579, 0.31
563.004, 0.29
563.428, 0.26
563.853, 0.24
564.277, 0.21
564.701, 0.2
565.126, 0.18
565.55, 0.16
565.974, 0.14
566.398, 0.13
566.822, 0.11
567.246, 0.1
567.67, 0.08
568.094, 0.07
568.518, 0.06
568.941, 0.04
569.365, 0.04
569.789, 0.03
570.213, 0.02
570.636, 0.02
571.06, 0.01
571.483, 0.01
571.907, 0.01
572.33, 0.01
572.753, 0
573.177, 0
573.6, 0
574.023, 0
574.446, 0
574.869, 0
575.292, 0
575.715, 0
576.138, -0.01
576.561, -0.01
576.984, -0.01
577.407, 0
577.829, 0
578.252, 0
578.675, 0
579.097, 0
579.52, 0
579.942, 0
580.364, 0
580.787, 0
581.209, 0
581.631, 0
582.054, 0
582.476, 0
582.898, 0
583.32, 0
583.742, 0
584.164, -0.01
584.586, -0.01
585.008, -0.01
585.429, 0
585.851, 0
586.273, 0
586.694, 0
587.116, 0
587.538, 0
587.959, 0
588.38, -0.01
588.802, -0.01
589.223, -0.01
589.644, -0.01
590.066, -0.01
590.487, -0.01
590.908, -0.01
591.329, -0.02
591.75, -0.01
592.171, -0.01
592.592, 0
593.013, 0
593.434, 0
593.854, 0
594.275, 0
594.696, 0
595.116, 0
595.537, 0
595.957, -0.01
596.378, 0
596.798, 0
597.218, 0
597.639, 0
598.059, 0
598.479, 0
598.899, 0
599.319, 0
599.739, 0
600.159, 0
600.579, 0
600.999, 0
601.419, 0
601.839, 0
602.259, 0
602.678, 0
603.098, 0
603.517, 0
603.937, 0
604.356, 0
604.776, 0
605.195, 0
605.614, 0
606.034, 0
606.453, 0
606.872, 0
607.291, 0
607.71, 0
608.129, 0
608.548, 0
608.967, 0
609.386, 0
609.805, 0
610.223, 0
610.642, 0
611.061, 0
611.479, 0
611.898, 0
612.316, 0
612.735, 0
613.153, 0
613.571, 0
613.99, 0
614.408, 0
614.826, 0
615.244, 0
615.662, 0
616.08, 0
616.498, 0
616.916, 0
617.334, -0.01
617.752, -0.01
618.169, -0.01
618.587, -0.01
619.005, -0.01
619.422, -0.01
619.84, -0.01
620.257, -0.01
620.675, -0.01
621.092, -0.01
621.509, -0.01
621.927, -0.01
622.344, -0.01
622.761, -0.01
623.178, -0.01
623.595, -0.01
624.012, -0.01
624.429, -0.01
624.846, -0.01
625.263, -0.01
625.68, -0.01
626.097, -0.01
626.513, -0.01
626.93, -0.01
627.346, -0.01
627.763, -0.02
628.179, -0.01
628.596, -0.02
629.012, -0.02
629.429, -0.02
629.845, -0.02
630.261, -0.02
630.677, -0.02
631.093, -0.02
631.509, -0.02
631.925, -0.02
632.341, -0.02
632.757, -0.02
633.173, -0.02
633.589, -0.02
634.005, -0.02
634.42, -0.02
634.836, -0.02
635.252, -0.02
635.667, -0.02
636.083, -0.02
636.498, -0.02
636.913, -0.02
637.329, -0.02
637.744, -0.02
638.159, -0.02
638.574, -0.02
638.99, -0.02
639.405, -0.02
639.82, -0.02
640.235, -0.02
640.65, -0.02
641.064, -0.02
641.479, -0.02
641.894, -0.02
642.309, -0.02
642.723, -0.02
643.138, -0.02
643.552, -0.02
643.967, -0.02
644.381, -0.02
644.796, -0.02
645.21, -0.01
645.624, -0.02
646.038, -0.02
646.453, -0.02
646.867, -0.02
647.281, -0.01
647.695, -0.01
648.109, -0.01
648.523, -0.01
648.936, -0.01
649.35, -0.01
649.764, -0.01
650.178, -0.01
650.591, -0.01
651.005, -0.01
651.418, -0.01
651.832, -0.01
652.245, -0.01
652.659, -0.01
653.072, -0.01
653.485, -0.01
653.898, -0.01
654.312, -0.01
654.725, -0.01
655.138, 0
655.551, 0
655.964, 0
656.377, 0
656.789, 0
657.202, 0
657.615, 0
658.028, 0
658.44, 0
658.853, -0.01
659.265, -0.01
659.678, -0.01
660.09, -0.01
660.503, -0.01
660.915, -0.01
661.327, -0.01
661.739, -0.01
662.152, -0.01
662.564, -0.01
662.976, -0.01
663.388, -0.01
663.8, -0.01
664.211, -0.01
664.623, -0.01
665.035, -0.01
665.447, -0.01
665.858, -0.01
666.27, -0.01
666.682, -0.01
667.093, -0.01
667.505, -0.01
667.916, -0.01
668.327, -0.01
668.739, -0.01
669.15, -0.01
669.561, -0.01
669.972, -0.01
670.383, -0.01
670.794, -0.01
671.205, -0.01
671.616, -0.01
672.027, -0.01
672.438, -0.01
672.849, -0.01
673.259, -0.01
673.67, -0.01
