Absorbance:209, 
499.196, 1.77
499.628, 1.81
500.06, 1.76
500.491, 1.75
500.923, 1.77
501.355, 1.82
501.787, 1.76
502.218, 1.76
502.65, 1.7
503.081, 1.71
503.513, 1.72
503.944, 1.68
504.376, 1.74
504.807, 1.76
505.238, 1.69
505.67, 1.67
506.101, 1.65
506.532, 1.63
506.963, 1.64
507.394, 1.65
507.825, 1.6
508.256, 1.58
508.687, 1.54
509.118, 1.55
509.549, 1.51
509.979, 1.52
510.41, 1.51
510.841, 1.5
511.271, 1.46
511.702, 1.48
512.132, 1.44
512.563, 1.42
512.993, 1.4
513.424, 1.39
513.854, 1.35
514.284, 1.36
514.714, 1.33
515.145, 1.34
515.575, 1.3
516.005, 1.3
516.435, 1.27
516.865, 1.23
517.295, 1.22
517.724, 1.2
518.154, 1.2
518.584, 1.15
519.014, 1.16
519.443, 1.15
519.873, 1.13
520.303, 1.09
520.732, 1.07
521.161, 1.05
521.591, 1.05
522.02, 1.04
522.45, 1.02
522.879, 1
523.308, 0.98
523.737, 0.96
524.166, 0.93
524.595, 0.93
525.024, 0.91
525.453, 0.89
525.882, 0.87
526.311, 0.86
526.74, 0.83
527.169, 0.82
527.597, 0.81
528.026, 0.79
528.455, 0.77
528.883, 0.76
529.312, 0.74
529.74, 0.72
530.168, 0.71
530.597, 0.69
531.025, 0.68
531.453, 0.66
531.882, 0.63
532.31, 0.63
532.738, 0.63
533.166, 0.6
533.594, 0.59
534.022, 0.57
534.45, 0.57
534.878, 0.55
535.305, 0.54
535.733, 0.52
536.161, 0.51
536.588, 0.5
537.016, 0.49
537.444, 0.47
537.871, 0.46
538.299, 0.45
538.726, 0.44
539.153, 0.43
539.581, 0.42
540.008, 0.4
540.435, 0.39
540.862, 0.38
541.289, 0.37
541.716, 0.36
542.143, 0.35
542.57, 0.34
542.997, 0.33
543.424, 0.32
543.851, 0.31
544.277, 0.3
544.704, 0.3
545.131, 0.28
545.557, 0.28
545.984, 0.27
546.41, 0.27
546.837, 0.26
547.263, 0.24
547.69, 0.24
548.116, 0.23
548.542, 0.22
548.968, 0.22
549.394, 0.21
549.82, 0.2
550.246, 0.19
550.672, 0.19
551.098, 0.18
551.524, 0.18
551.95, 0.17
552.376, 0.16
552.802, 0.16
553.227, 0.15
553.653, 0.15
554.078, 0.15
554.504, 0.13
554.929, 0.13
555.355, 0.12
555.78, 0.13
556.206, 0.12
556.631, 0.12
557.056, 0.11
557.481, 0.11
557.906, 0.1
558.331, 0.1
558.756, 0.09
559.181, 0.09
559.606, 0.09
560.031, 0.09
560.456, 0.08
560.881, 0.08
561.305, 0.07
561.73, 0.08
562.155, 0.07
562.579, 0.06
563.004, 0.06
563.428, 0.06
563.853, 0.06
564.277, 0.06
564.701, 0.06
565.126, 0.05
565.55, 0.05
565.974, 0.05
566.398, 0.05
566.822, 0.05
567.246, 0.04
567.67, 0.04
568.094, 0.03
568.518, 0.03
568.941, 0.03
569.365, 0.03
569.789, 0.03
570.213, 0.02
570.636, 0.02
571.06, 0.02
571.483, 0.02
571.907, 0.02
572.33, 0.02
572.753, 0.02
573.177, 0.01
573.6, 0.01
574.023, 0.01
574.446, 0.01
574.869, 0.01
575.292, 0.01
575.715, 0.01
576.138, 0.01
576.561, 0.01
576.984, 0.01
577.407, 0.01
577.829, 0.01
578.252, 0.01
578.675, 0.01
579.097, 0.01
579.52, 0.01
