lambda, intensity
571.907, 47969.43
572.33, 48900.96
572.753, 47859.42
573.177, 48196.46
573.6, 48414.13
574.023, 48414.13
574.446, 48355.61
574.869, 48592.01
575.292, 48217.52
575.715, 47798.57
576.138, 48130.92
576.561, 47941.34
576.984, 47662.82
577.407, 47672.18
577.829, 47255.56
578.252, 47604.3
578.675, 47211.09
579.097, 47491.96
579.52, 47056.62
579.942, 46735.96
580.364, 46415.31
580.787, 46326.37
581.209, 47398.34
581.631, 46450.42
582.054, 46672.77
582.476, 46504.25
582.898, 46207
583.32, 45825.5
583.742, 46235.09
584.164, 46356.8
584.586, 45954.22
585.008, 45855.92
585.429, 46078.27
585.851, 46305.3
586.273, 46211.68
586.694, 46497.23
587.116, 46621.28
587.538, 45876.99
587.959, 46616.6
588.38, 46218.71
588.802, 46567.44
589.223, 46654.04
589.644, 47349.18
590.066, 47124.49
590.487, 47009.81
590.908, 48081.77
591.329, 47873.46
591.75, 48102.84
592.171, 48051.34
592.592, 48627.12
593.013, 48470.3
593.434, 49025.01
593.854, 49355.02
594.275, 49432.26
594.696, 49692.06
595.116, 49788.02
595.537, 50073.57
595.957, 50431.67
596.378, 50586.14
596.798, 50403.58
597.218, 51147.87
597.639, 50906.8
598.059, 51068.3
598.479, 51730.67
598.899, 51021.48
599.319, 51360.86
599.739, 50991.06
600.159, 51658.11
600.579, 51515.34
600.999, 50890.41
601.419, 50927.86
601.839, 50902.12
602.259, 50281.88
602.678, 50747.64
603.098, 50623.59
603.517, 50422.31
603.937, 50712.53
604.356, 50211.66
604.776, 49357.36
605.195, 49259.06
605.614, 49074.16
606.034, 49017.99
606.453, 48486.68
606.872, 48573.28
607.291, 48070.07
607.71, 48807.34
608.129, 47576.22
608.548, 47665.16
608.967, 47864.1
609.386, 47601.96
609.805, 47063.64
610.223, 46967.68
610.642, 46984.06
611.061, 46895.12
611.479, 47133.85
611.898, 47248.54
612.316, 47154.92
612.735, 46927.89
613.153, 46574.47
613.571, 46347.43
