Absorbance:209, 
695.357, -0.02
695.765, -0.02
696.173, -0.02
696.58, -0.02
696.988, -0.02
697.395, -0.02
697.803, -0.02
698.21, -0.02
698.618, -0.02
699.025, -0.02
699.432, -0.02
699.839, -0.03
700.247, -0.02
700.654, -0.02
701.061, -0.03
701.468, -0.03
701.875, -0.02
702.281, -0.03
702.688, -0.03
703.095, -0.03
703.502, -0.03
703.908, -0.03
704.315, -0.02
704.722, -0.03
705.128, -0.03
705.534, -0.03
705.941, -0.02
706.347, -0.03
706.753, -0.02
707.16, -0.02
707.566, -0.02
707.972, -0.02
708.378, -0.02
708.784, -0.02
709.19, -0.03
709.596, -0.02
710.002, -0.02
710.407, -0.03
710.813, -0.02
711.219, -0.03
711.625, -0.02
712.03, -0.02
712.436, -0.02
712.841, -0.03
713.246, -0.02
713.652, -0.02
714.057, -0.03
714.462, -0.03
714.868, -0.03
715.273, -0.02
715.678, -0.03
716.083, -0.02
716.488, -0.03
716.893, -0.03
717.297, -0.03
717.702, -0.03
718.107, -0.02
718.512, -0.02
718.916, -0.02
719.321, -0.03
719.725, -0.02
720.13, -0.02
720.534, -0.03
720.939, -0.02
721.343, -0.02
721.747, -0.02
722.151, -0.03
722.556, -0.02
722.96, -0.03
723.364, -0.02
723.768, -0.03
724.172, -0.03
724.576, -0.03
724.979, -0.03
725.383, -0.03
725.787, -0.02
726.19, -0.03
726.594, -0.02
726.998, -0.02
727.401, -0.03
727.805, -0.02
728.208, -0.02
728.611, -0.02
729.014, -0.02
729.418, -0.02
729.821, -0.02
730.224, -0.02
730.627, -0.02
731.03, -0.02
731.433, -0.02
731.836, -0.02
732.239, -0.02
732.641, -0.02
733.044, -0.02
733.447, -0.02
733.849, -0.02
734.252, -0.02
734.654, -0.02
735.057, -0.02
735.459, -0.02
735.862, -0.02
736.264, -0.02
736.666, -0.02
737.068, -0.02
737.47, -0.03
737.872, -0.03
738.274, -0.02
738.676, -0.03
739.078, -0.03
739.48, -0.03
739.882, -0.03
740.284, -0.03
740.685, -0.03
741.087, -0.03
741.488, -0.03
741.89, -0.04
742.291, -0.03
742.693, -0.03
743.094, -0.04
743.495, -0.04
743.897, -0.04
744.298, -0.04
744.699, -0.04
745.1, -0.04
745.501, -0.04
745.902, -0.04
746.303, -0.05
746.704, -0.04
747.105, -0.04
747.505, -0.04
747.906, -0.04
748.307, -0.04
748.707, -0.04
749.108, -0.04
749.508, -0.04
749.908, -0.04
750.309, -0.04
750.709, -0.03
751.109, -0.03
751.51, -0.03
751.91, -0.03
752.31, -0.03
752.71, -0.03
753.11, -0.03
753.51, -0.03
753.909, -0.03
754.309, -0.03
754.709, -0.03
755.109, -0.03
755.508, -0.03
755.908, -0.03
756.307, -0.03
756.707, -0.03
757.106, -0.03
757.505, -0.03
757.905, -0.03
758.304, -0.04
758.703, -0.04
759.102, -0.04
759.501, -0.05
759.9, -0.05
760.299, -0.05
760.698, -0.05
761.097, -0.06
761.496, -0.06
761.895, -0.06
762.293, -0.06
762.692, -0.06
763.09, -0.07
763.489, -0.07
763.887, -0.06
764.286, -0.06
764.684, -0.06
765.082, -0.07
765.481, -0.06
765.879, -0.07
766.277, -0.07
766.675, -0.07
767.073, -0.07
767.471, -0.08
767.869, -0.07
768.267, -0.07
768.664, -0.08
769.062, -0.08
769.46, -0.07
769.857, -0.08
770.255, -0.08
770.653, -0.08
771.05, -0.08
771.447, -0.08
771.845, -0.08
772.242, -0.08
772.639, -0.09
773.036, -0.08
773.433, -0.08
773.831, -0.09
774.228, -0.09
774.624, -0.09
775.021, -0.09
775.418, -0.09
775.815, -0.09
776.212, -0.09
776.608, -0.09
777.005, -0.09
777.401, -0.09
777.798, -0.09
778.194, -0.09
778.591, -0.1
778.987, -0.1
779.383, -0.1
779.78, -0.1
780.176, -0.09
780.572, -0.1
780.968, -0.09
781.364, -0.09
781.76, -0.1
782.156, -0.1
782.551, -0.1
782.947, -0.1
783.343, -0.1
783.739, -0.1
784.134, -0.1
784.53, -0.1
784.925, -0.1
785.321, -0.11
785.716, -0.1
786.111, -0.11
786.507, -0.11
786.902, -0.1
787.297, -0.11
787.692, -0.11
788.087, -0.11
788.482, -0.11
788.877, -0.11
789.272, -0.11
789.667, -0.11
790.061, -0.11
790.456, -0.11
790.851, -0.11
791.245, -0.11
791.64, -0.12
792.034, -0.12
792.429, -0.11
792.823, -0.12
793.217, -0.12
793.612, -0.11
794.006, -0.11
794.4, -0.11
794.794, -0.12
795.188, -0.12
795.582, -0.12
795.976, -0.13
796.37, -0.13
796.763, -0.12
797.157, -0.13
797.551, -0.13
797.944, -0.13
798.338, -0.14
798.731, -0.13
799.125, -0.13
799.518, -0.13
799.912, -0.14
800.305, -0.13
800.698, -0.14
801.091, -0.14
801.484, -0.14
801.877, -0.14
802.27, -0.14
802.663, -0.14
803.056, -0.14
803.449, -0.14
803.842, -0.15
804.235, -0.14
804.627, -0.14
805.02, -0.15
805.412, -0.14
805.805, -0.15
806.197, -0.14
806.59, -0.14
806.982, -0.14
807.374, -0.14
807.766, -0.15
808.159, -0.15
808.551, -0.15
808.943, -0.15
809.335, -0.15
809.727, -0.15
810.118, -0.15
810.51, -0.15
810.902, -0.16
811.294, -0.16
811.685, -0.16
812.077, -0.15
812.468, -0.15
812.86, -0.15
813.251, -0.16
813.643, -0.16
