lambda, I
459.683, 551.34
460.119, 523.26
460.556, 591.13
460.992, 544.32
461.428, 530.28
461.864, 574.75
462.301, 649.64
462.737, 640.28
463.173, 574.75
463.609, 628.58
464.045, 651.99
464.481, 637.94
464.917, 633.26
465.352, 623.9
465.788, 673.05
466.224, 642.62
466.66, 579.43
467.095, 656.67
467.531, 694.12
467.966, 541.98
468.402, 656.67
468.837, 560.7
469.273, 635.6
469.708, 654.33
470.143, 682.41
470.578, 565.39
471.014, 588.79
471.449, 635.6
471.884, 588.79
472.319, 668.37
472.754, 726.88
473.189, 654.33
473.624, 640.28
474.059, 588.79
474.493, 591.13
474.928, 708.16
475.363, 687.09
475.797, 595.81
476.232, 654.33
476.667, 687.09
477.101, 675.39
477.536, 698.8
477.97, 754.97
478.404, 752.63
478.839, 754.97
479.273, 846.25
479.707, 895.4
480.141, 853.27
480.575, 1035.83
481.009, 1101.37
481.444, 1274.57
481.877, 1471.17
482.311, 1571.82
482.745, 1887.79
483.179, 2159.29
483.613, 2526.75
484.047, 2980.82
484.48, 3402.11
484.914, 3690
485.347, 4120.66
485.781, 4530.25
486.214, 4930.48
486.648, 5253.48
487.081, 5204.33
487.515, 5255.82
487.948, 5185.6
488.381, 4986.66
488.814, 4787.71
489.247, 4572.38
489.68, 4354.71
490.113, 4225.98
490.546, 4134.7
490.979, 3891.29
491.412, 3895.97
491.845, 3790.64
492.278, 3661.91
492.711, 3484.03
493.143, 3357.64
493.576, 3233.6
494.009, 3205.51
494.441, 2962.09
494.874, 2798.26
495.306, 2772.51
495.738, 2641.44
496.171, 2468.24
496.603, 2486.97
497.035, 2381.64
497.467, 2353.55
497.9, 2180.36
498.332, 2131.2
498.764, 1864.38
499.196, 1789.49
499.628, 1747.36
500.06, 1716.93
500.491, 1546.07
500.923, 1515.64
501.355, 1440.75
501.787, 1415
502.218, 1269.89
502.65, 1150.52
503.081, 1159.88
503.513, 1075.62
503.944, 1005.41
504.376, 946.89
504.807, 982
505.238, 972.64
505.67, 916.47
506.101, 853.27
506.532, 841.57
506.963, 836.89
507.394, 879.02
507.825, 808.8
508.256, 813.48
508.687, 874.34
509.118, 848.59
509.549, 860.29
509.979, 829.87
510.41, 897.74
510.841, 825.19
511.271, 726.88
511.702, 785.4
512.132, 783.06
512.563, 808.8
512.993, 747.95
513.424, 740.93
513.854, 724.54
514.284, 745.61
514.714, 815.82
515.145, 752.63
515.575, 659.01
516.005, 689.43
516.435, 675.39
516.865, 752.63
517.295, 797.1
517.724, 731.56
518.154, 656.67
518.584, 659.01
519.014, 754.97
519.443, 761.99
519.873, 654.33
520.303, 752.63
520.732, 736.24
521.161, 726.88
521.591, 675.39
522.02, 752.63
522.45, 651.99
522.879, 750.29
523.308, 623.9
523.737, 682.41
524.166, 651.99
524.595, 661.35
525.024, 752.63
525.453, 722.2
525.882, 719.86
526.311, 736.24
526.74, 769.01
527.169, 717.52
527.597, 738.59
528.026, 794.76
528.455, 806.46
528.883, 710.5
529.312, 731.56
529.74, 827.53
530.168, 827.53
530.597, 785.4
531.025, 860.29
531.453, 930.51
531.882, 979.66
532.31, 1063.92
532.738, 1230.1
533.166, 1356.49
533.594, 1564.79
534.022, 1560.11
534.45, 1508.62
534.878, 1517.98
535.305, 1515.64
535.733, 1585.86
536.161, 1915.87
536.588, 2339.51
537.016, 2704.64
537.444, 3327.22
537.871, 4008.31
538.299, 4630.9
538.726, 5311.99
539.153, 6496.3
539.581, 8118.29
540.008, 10938.64
540.435, 14578.17
540.862, 18767.73
541.289, 22664.72
541.716, 25707.42
542.143, 26126.38
542.57, 25351.66
542.997, 23650.09
543.424, 23174.96
543.851, 22407.26
544.277, 23093.04
544.704, 26877.69
545.131, 29733.14
545.557, 32647.11
545.984, 39008.68
546.41, 40342.79
546.837, 34353.36
547.263, 26198.93
547.69, 21035.71
548.116, 17747.26
548.542, 15395.02
548.968, 13473.44
549.394, 11736.76
549.82, 10620.33
550.246, 9372.82
550.672, 8389.8
551.098, 7493.37
551.524, 6615.67
551.95, 5885.42
552.376, 5311.99
552.802, 4843.88
553.227, 4242.37
553.653, 3858.52
554.078, 3474.67
554.504, 3137.63
554.929, 2772.51
555.355, 2423.77
555.78, 2194.4
556.206, 2002.47
556.631, 1810.55
557.056, 1632.67
557.481, 1604.58
557.906, 1503.94
558.331, 1454.79
558.756, 1382.23
559.181, 1260.52
559.606, 1176.27
560.031, 1190.31
560.456, 1260.52
560.881, 1190.31
561.305, 1106.05
561.73, 1138.82
562.155, 1117.75
562.579, 1077.96
563.004, 1010.09
563.428, 1056.9
563.853, 970.3
564.277, 970.3
564.701, 1005.41
565.126, 925.83
565.55, 977.32
565.974, 937.53
566.398, 998.38
566.822, 825.19
567.246, 893.06
567.67, 904.76
568.094, 874.34
568.518, 839.23
568.941, 911.78
569.365, 965.62
569.789, 811.14
570.213, 834.55
570.636, 792.42
571.06, 708.16
571.483, 879.02
571.907, 633.26
572.33, 738.59
572.753, 731.56
573.177, 853.27
573.6, 832.21
574.023, 890.72
574.446, 785.4
574.869, 827.53
575.292, 1000.73
575.715, 1918.22
576.138, 2592.29
576.561, 3322.54
576.984, 4415.57
577.407, 5129.43
577.829, 5021.77
578.252, 4338.33
578.675, 4183.85
579.097, 5099
579.52, 5990.75
579.942, 5253.48
580.364, 4724.52
580.787, 4591.11
581.209, 4415.57
581.631, 3987.25
582.054, 4254.07
582.476, 4438.97
582.898, 4752.6
583.32, 4911.76
583.742, 5096.66
584.164, 4935.17
584.586, 4946.87
585.008, 4827.5
585.429, 4729.2
585.851, 4799.41
586.273, 5653.71
586.694, 6091.39
587.116, 6657.8
587.538, 7446.56
587.959, 7654.87
588.38, 6585.24
588.802, 5000.7
589.223, 4254.07
589.644, 3675.96
590.066, 3465.31
590.487, 3587.02
590.908, 3678.3
591.329, 4106.62
591.75, 4532.59
592.171, 5129.43
592.592, 6032.88
593.013, 6599.29
593.434, 6994.84
593.854, 6912.92
594.275, 5901.81
594.696, 4696.43
595.116, 3963.84
595.537, 3341.26
595.957, 3025.29
596.378, 2856.77
596.798, 2912.94
597.218, 2889.54
597.639, 3022.95
598.059, 3219.55
598.479, 3645.53
598.899, 4179.17
599.319, 4565.36
599.739, 4914.1
600.159, 4717.5
600.579, 4382.8
600.999, 3835.11
601.419, 3273.39
601.839, 2934.01
602.259, 2447.18
602.678, 2259.93
603.098, 2103.12
603.517, 2070.35
603.937, 2079.71
604.356, 2187.38
604.776, 2276.32
605.195, 2295.04
605.614, 2292.7
606.034, 2559.52
606.453, 2650.8
606.872, 2924.65
607.291, 3252.32
607.71, 3795.32
608.129, 4513.87
608.548, 5391.57
608.967, 6807.59
609.386, 9878.38
609.805, 15767.17
610.223, 25417.19
610.642, 34423.58
611.061, 43617.2
611.479, 52141.43
611.898, 54210.46
612.316, 50315.81
612.735, 40508.97
613.153, 32429.44
613.571, 25836.15
613.99, 22269.17
614.408, 19235.84
614.826, 17637.25
615.244, 15380.98
615.662, 13169.17
616.08, 10758.42
616.498, 8797.05
616.916, 7198.46
617.334, 5962.66
617.752, 5206.67
618.169, 4614.51
618.587, 4350.03
619.005, 3814.05
619.422, 3720.43
619.84, 3580
620.257, 3617.44
620.675, 3549.57
621.092, 3718.09
621.509, 3699.36
621.927, 3699.36
622.344, 3821.07
622.761, 3692.34
623.178, 3893.63
623.595, 3921.71
624.012, 4062.15
624.429, 4221.3
624.846, 4228.32
625.263, 4235.35
625.68, 4221.3
626.097, 4305.56
626.513, 4244.71
626.93, 4307.9
627.346, 4162.79
627.763, 4118.32
628.179, 4062.15
628.596, 4017.68
629.012, 4188.53
629.429, 4312.58
629.845, 4820.48
630.261, 5447.74
630.677, 5897.13
631.093, 6278.63
631.509, 6475.24
631.925, 5972.02
632.341, 4881.33
632.757, 3776.6
633.173, 2959.75
633.589, 2168.65
634.005, 1871.4
634.42, 1742.68
634.836, 1457.13
635.252, 1347.12
635.667, 1241.8
636.083, 1202.01
636.498, 1169.24
636.913, 1021.79
637.329, 1061.58
637.744, 1124.77
638.159, 1040.51
638.574, 972.64
638.99, 911.78
639.405, 937.53
639.82, 944.55
640.235, 925.83
640.65, 916.47
641.064, 876.68
641.479, 864.97
641.894, 799.44
642.309, 939.87
642.723, 874.34
643.138, 862.63
643.552, 895.4
643.967, 904.76
644.381, 960.94
644.796, 965.62
645.21, 930.51
645.624, 867.31
646.038, 881.36
646.453, 904.76
646.867, 883.7
647.281, 942.21
647.695, 890.72
648.109, 879.02
648.523, 932.85
