lambda, Intensity
629.012, 46506.15
629.429, 46073.15
629.845, 45270.35
630.261, 45048
630.677, 45146.3
631.093, 44760.11
631.509, 44362.22
631.925, 43997.1
632.341, 43180.25
632.757, 43074.93
633.173, 42637.25
633.589, 42574.05
634.005, 42134.03
634.42, 41595.71
634.836, 40938.02
635.252, 40795.24
635.667, 40205.43
636.083, 40022.87
636.498, 40011.17
636.913, 39922.23
637.329, 38861.96
637.744, 38810.47
638.159, 38471.09
638.574, 37885.96
638.99, 38365.77
639.405, 37314.87
639.82, 37284.44
640.235, 36689.95
640.65, 36472.28
641.064, 35887.14
641.479, 35433.08
641.894, 35538.4
642.309, 35231.79
642.723, 35194.34
643.138, 34321.32
643.552, 33888.32
643.967, 34056.84
644.381, 33511.5
644.796, 32879.55
645.21, 33275.1
645.624, 32371.66
646.038, 32104.84
646.453, 31667.16
646.867, 31229.48
647.281, 31058.62
647.695, 30840.95
648.109, 30379.86
648.523, 30323.69
648.936, 29572.38
649.35, 29747.92
649.764, 29335.98
650.178, 28902.98
650.591, 28453.6
651.005, 28416.15
651.418, 28034.64
651.832, 27655.48
652.245, 27603.99
652.659, 26709.9
653.072, 26766.07
653.485, 26494.57
653.898, 26328.39
654.312, 25689.43
654.725, 25518.57
655.138, 25527.93
655.551, 24877.26
655.964, 24963.86
656.377, 24278.08
656.789, 24203.19
657.202, 23585.29
657.615, 23564.22
658.028, 23433.15
658.44, 22740.35
658.853, 22393.95
659.265, 22197.35
659.678, 21975
660.09, 21581.79
660.503, 21628.6
660.915, 21137.09
661.327, 20860.9
661.739, 20746.22
662.152, 20226.62
662.564, 20409.18
662.976, 20088.53
663.388, 19945.75
663.8, 19578.29
664.211, 19388.71
664.623, 18684.2
665.035, 18955.71
665.447, 18958.05
665.858, 18251.2
666.27, 18276.95
666.682, 17907.15
667.093, 17476.49
667.505, 17223.71
667.916, 17080.94
668.327, 16837.52
668.739, 16615.17
669.15, 16193.87
669.561, 15847.47
669.972, 15681.3
670.383, 15629.8
670.794, 15575.97
671.205, 15126.59
671.616, 14958.07
672.027, 14522.73
672.438, 14740.4
672.849, 14209.1
673.259, 14026.54
673.67, 13946.96
674.08, 13921.21
674.491, 13364.17
674.901, 13057.56
675.312, 13069.26
675.722, 12940.53
676.133, 12617.54
676.543, 12563.7
676.953, 12214.96
677.363, 12205.6
677.773, 11828.77
678.183, 11831.12
678.593, 11437.91
679.003, 11320.88
679.413, 11353.65
679.823, 11126.61
680.233, 10880.86
680.643, 10557.86
681.052, 10522.76
681.462, 10473.6
681.872, 10321.47
682.281, 10190.4
682.691, 9911.88
683.1, 9523.35
683.509, 9588.88
683.919, 9525.69
684.328, 9403.98
684.737, 9102.05
685.146, 8879.7
685.555, 8963.96
685.964, 8650.33
686.373, 8664.37
686.782, 8594.15
687.191, 8243.07
687.6, 8261.8
688.009, 8175.2
688.417, 7849.86
688.826, 7777.31
689.235, 7756.24
689.643, 7784.33
690.052, 7601.77
690.46, 7367.71
690.869, 7290.48
691.277, 7161.75
691.685, 6960.46
692.093, 6798.96
692.502, 7004.93
692.91, 6728.75
693.318, 6546.19
693.726, 6529.8
694.134, 6445.54
694.542, 6464.27
694.949, 5998.5
695.357, 6127.23
695.765, 6019.57
696.173, 5794.87
696.58, 5930.62
696.988, 5764.45
697.395, 5705.93
697.803, 5755.08
698.21, 5638.06
698.618, 5528.05
699.025, 5319.75
699.432, 5382.94
699.839, 5165.27
700.247, 5350.17
700.654, 5251.87
701.061, 4971.01
701.468, 4931.22
701.875, 4912.49
702.281, 4825.89
702.688, 4814.19
703.095, 4612.9
703.502, 4692.48
703.908, 4547.37
704.315, 4498.22
704.722, 4315.66
705.128, 4439.7
705.534, 4189.27
705.941, 4261.82
706.347, 4119.05
706.753, 4285.23
707.16, 4062.88
707.566, 3964.57
707.972, 3894.36
708.378, 4023.09
708.784, 3873.29
709.19, 3737.54
709.596, 3767.97
710.002, 3840.53
710.407, 3639.24
710.813, 3522.21
711.219, 3444.98
711.625, 3622.86
712.03, 3421.57
712.436, 3522.21
712.841, 3239.01
713.246, 3171.13
713.652, 3086.87
714.057, 3201.56
714.462, 3234.33
714.868, 3255.39
715.273, 3171.13
715.678, 3030.7
716.083, 3105.6
716.488, 2976.87
716.893, 2876.23
717.297, 2829.42
717.702, 2852.82
718.107, 2890.27
718.512, 2721.75
