FLMS05507_1:101, 
427.694, 28431.8
428.134, 28846.08
428.574, 28532.45
429.014, 27298.98
429.454, 26397.88
429.893, 24848.44
430.333, 23189
430.773, 23954.36
431.212, 24581.62
431.652, 26477.46
432.091, 28169.66
432.531, 28715.01
432.97, 29543.56
433.41, 29875.91
433.849, 29180.78
434.288, 29201.84
434.727, 30842.56
435.167, 30367.43
435.606, 31525.99
436.045, 32595.62
436.484, 32902.23
436.923, 32265.6
437.362, 32328.8
437.801, 32003.46
438.239, 31411.31
438.678, 30636.59
439.117, 31399.6
439.556, 31774.09
439.994, 31863.03
440.433, 32499.65
440.871, 33215.86
441.31, 33906.32
441.748, 34425.92
442.187, 35135.1
442.625, 35041.48
443.063, 35226.38
443.502, 34758.27
443.94, 36249.19
444.378, 35989.39
444.816, 36017.48
445.254, 35708.53
445.692, 34571.03
446.13, 35291.91
446.568, 35448.73
447.006, 35977.69
447.444, 36178.98
447.881, 37028.59
448.319, 37374.99
448.757, 37213.49
449.194, 37426.48
449.632, 38060.77
450.07, 38505.47
450.507, 39951.92
450.944, 39692.12
451.382, 39715.53
451.819, 39015.71
452.256, 38638.88
452.694, 38187.16
453.131, 38339.29
453.568, 38042.04
454.005, 37953.1
454.442, 37934.38
454.879, 38250.35
455.316, 38505.47
455.753, 38748.89
456.19, 39331.68
456.627, 40090.01
457.063, 40085.33
457.5, 39799.79
457.937, 38980.6
458.373, 39011.03
458.81, 38402.49
459.246, 39078.9
459.683, 38631.86
460.119, 39327
460.556, 39851.28
460.992, 40291.3
461.428, 41066.02
461.864, 41726.05
462.301, 41190.06
462.737, 42084.15
463.173, 41747.11
463.609, 41824.35
464.045, 42042.02
464.481, 40862.39
464.917, 41159.64
465.352, 40991.12
465.788, 41389.01
466.224, 42266.71
466.66, 41410.07
467.095, 42198.83
467.531, 41417.1
467.966, 41840.73
468.402, 43231.01
468.837, 43514.22
469.273, 43308.25
469.708, 42580.34
470.143, 42915.04
470.578, 43848.91
471.014, 42622.47
471.449, 44284.25
471.884, 45559.84
472.319, 46194.13
472.754, 46479.67
473.189, 45637.08
473.624, 47380.78
474.059, 47343.33
474.493, 48827.23
474.928, 48885.75
475.363, 48984.05
475.797, 49812.6
476.232, 49611.31
476.667, 50264.32
477.101, 50819.03
477.536, 52609.54
477.97, 52162.5
478.404, 52553.36
478.839, 53098.71
479.273, 53119.77
479.707, 54781.55
480.141, 55209.87
480.575, 55535.21
481.009, 56047.78
481.444, 55729.47
481.877, 56799.1
482.311, 56976.98
482.745, 57517.64
483.179, 57704.88
483.613, 57850
484.047, 57770.42
484.48, 57718.93
484.914, 57171.24
485.347, 55682.66
485.781, 54589.63
486.214, 53828.96
486.648, 53793.85
487.081, 54713.68
487.515, 55846.5
487.948, 56951.23
488.381, 57180.6
488.814, 57606.58
489.247, 58442.15
489.68, 59036.65
490.113, 59603.06
490.546, 59792.64
490.979, 59663.91
491.412, 59481.35
491.845, 58851.75
492.278, 59565.61
492.711, 59563.27
493.143, 59708.38
493.576, 60305.22
494.009, 60085.21
494.441, 61012.06
494.874, 61016.74
495.306, 61365.48
495.738, 61288.24
496.171, 61098.66
496.603, 61739.97
497.035, 61555.07
497.467, 61608.9
497.9, 61236.75
498.332, 60913.76
498.764, 61182.92
499.196, 61342.08
499.628, 61014.4
500.06, 60447.99
500.491, 60745.24
500.923, 60211.6
501.355, 60263.09
501.787, 60038.4
502.218, 60209.26
502.65, 60796.73
503.081, 60726.52
503.513, 60560.34
503.944, 60115.64
504.376, 60698.43
504.807, 60845.88
505.238, 61292.93
505.67, 61679.11
506.101, 61700.18
506.532, 61676.77
506.963, 61508.25
507.394, 61725.92
507.825, 61218.03
508.256, 61311.65
508.687, 61674.43
509.118, 61875.72
509.549, 61948.28
509.979, 61576.13
510.41, 61856.99
510.841, 61903.81
511.271, 62051.26
511.702, 62652.78
512.132, 62308.72
512.563, 61920.19
512.993, 61751.67
513.424, 61665.07
513.854, 61325.69
514.284, 61405.27
514.714, 61150.15
515.145, 61463.78
515.575, 61454.42
516.005, 61035.47
516.435, 59998.61
516.865, 59048.35
517.295, 58797.91
517.724, 58788.55
518.154, 58699.61
518.584, 59090.48
519.014, 59256.66
519.443, 59851.16
519.873, 60408.2
520.303, 60906.74
520.732, 61131.43
521.161, 61372.5
521.591, 61660.39
522.02, 61335.05
522.45, 61318.67
522.879, 61037.81
523.308, 61461.44
523.737, 61503.57
524.166, 61775.08
524.595, 62062.96
525.024, 61917.85
525.453, 61824.23
525.882, 61545.7
526.311, 60445.65
526.74, 59518.8
527.169, 59502.42
527.597, 60110.95
528.026, 60513.53
528.455, 61044.83
528.883, 61297.61
529.312, 61693.16
529.74, 61431.02
530.168, 61847.63
530.597, 62055.94
531.025, 62322.76
531.453, 61908.49
531.882, 61917.85
532.31, 61274.2
532.738, 60871.63
533.166, 60953.55
533.594, 60785.03
534.022, 60991
534.45, 61187.6
534.878, 61131.43
535.305, 61562.09
535.733, 61833.59
536.161, 61524.64
536.588, 61445.06
537.016, 61019.08
537.444, 61215.69
537.871, 61065.89
538.299, 61159.51
538.726, 60848.22
539.153, 60869.29
539.581, 60209.26
540.008, 60185.85
540.435, 59647.53
540.862, 59467.31
541.289, 59558.59
541.716, 59977.54
542.143, 59956.48
542.57, 59940.1
542.997, 59909.67
543.424, 60527.57
543.851, 60146.06
544.277, 60483.1
544.704, 60342.67
545.131, 60136.7
545.557, 60389.48
545.984, 60328.62
546.41, 60136.7
546.837, 60014.99
547.263, 60047.76
547.69, 59724.77
548.116, 59708.38
548.542, 59912.01
548.968, 60075.85
549.394, 60007.97
549.82, 60103.93
550.246, 59811.37
550.672, 59912.01
551.098, 59984.57
551.524, 60054.78
551.95, 59867.54
552.376, 60012.65
552.802, 59949.46
553.227, 59443.9
553.653, 59441.56
554.078, 59694.34
554.504, 59949.46
554.929, 60071.17
555.355, 59982.23
555.78, 59621.78
556.206, 59453.26
556.631, 59312.83
557.056, 58797.91
557.481, 58893.88
557.906, 58821.32
558.331, 58343.85
558.756, 57646.37
559.181, 57997.45
559.606, 57550.41
560.031, 57948.3
560.456, 57854.68
560.881, 58086.39
561.305, 57938.94
561.73, 57786.8
562.155, 57873.4
562.579, 57854.68
563.004, 57871.06
563.428, 57971.71
563.853, 57534.02
564.277, 57793.82
564.701, 57358.48
565.126, 57459.13
565.55, 57075.28
565.974, 56883.36
566.398, 56794.42
566.822, 56890.38
567.246, 57295.29
567.67, 57229.76
568.094, 57143.16
568.518, 56822.5
568.941, 56525.25
569.365, 56600.15
569.789, 56529.94
570.213, 56417.59
570.636, 56176.51
571.06, 55991.61
571.483, 56459.72
571.907, 56363.76
572.33, 57075.28
572.753, 56799.1
573.177, 57086.98
573.6, 57157.2
574.023, 57061.24
574.446, 56466.74
574.869, 55949.48
575.292, 56108.64
575.715, 55848.84
576.138, 55701.39
576.561, 55493.08
576.984, 54907.94
577.407, 54931.35
577.829, 54280.68
578.252, 53646.4
578.675, 53686.18
579.097, 53187.65
579.52, 53934.28
579.942, 53894.49
580.364, 53484.9
580.787, 53765.76
581.209, 53405.32
581.631, 53510.64
582.054, 53028.49
582.476, 53604.27
582.898, 53487.24
583.32, 53255.53
583.742, 53491.92
584.164, 53611.29
584.586, 53407.66
